produto;fornecedor;produto_nome;categoria;sub_categoria
K*C+26:7*$6P)3PQ_%U_&+;Fornecedor 1;Produto 1;Categoria 1;Subcategoria C1.1
A],V_4=/EP2<3_]5N?!4!%;Fornecedor 2;Produto 2;Categoria 1;Subcategoria C1.1
"EL2!F4Q5(;*)$XX7S@SFJ0";Fornecedor 3;Produto 3;Categoria 1;Subcategoria C1.1
"EL""=U15GB/W)$<?@:@BE10";Fornecedor 3;Produto 4;Categoria 1;Subcategoria C1.1
"AC""""8K\_G,V\'RCNRU-_(-";Fornecedor 4;Produto 5;Categoria 1;Subcategoria C1.1
"AC*#NA:]#$S\'PJL;4R*##";Fornecedor 5;Produto 6;Categoria 1;Subcategoria C1.1
AW7Y4U,S6(0\H4DDADB^5);Fornecedor 4;Produto 7;Categoria 1;Subcategoria C1.1
AWG=%XHA\3C\HX*M(D1]\(;Fornecedor 4;Produto 8;Categoria 1;Subcategoria C1.1
AWW?QDD<TPS\HL+8,B\6V+;Fornecedor 4;Produto 9;Categoria 1;Subcategoria C1.1
H=15/E4CBLC3MQWY7+_6N!;Fornecedor 6;Produto 10;Categoria 1;Subcategoria C1.1
D^G71UP1I16F\NVDMI32$#;Fornecedor 4;Produto 11;Categoria 1;Subcategoria C1.1
HW+E&,9$Z$MS**I#E-D8%*;Fornecedor 6;Produto 12;Categoria 1;Subcategoria C1.1
G&'4S'+A\8%:*/#YI*VY9/;Fornecedor 2;Produto 13;Categoria 1;Subcategoria C1.1
"G&7GA_V5+V+:*K<P""+';\*";Fornecedor 7;Produto 14;Categoria 1;Subcategoria C1.1
"DN:^V15A2&*''""%[0+3[)'";Fornecedor 5;Produto 15;Categoria 1;Subcategoria C1.1
DNRT_5_&KWF'',+.VK,M**;Fornecedor 5;Produto 16;Categoria 1;Subcategoria C1.1
DNJBG4Q/X1=''>>RI+D\B';Fornecedor 5;Produto 17;Categoria 1;Subcategoria C1.1
GH+J3[X]:=%Z5**\Q42?#%;Fornecedor 8;Produto 18;Categoria 1;Subcategoria C1.1
EHYPTJYME&W)ME1:*,J:^$;Fornecedor 3;Produto 19;Categoria 1;Subcategoria C1.1
G*0`SNF:YA%:%L9FY--9S#;Fornecedor 9;Produto 20;Categoria 1;Subcategoria C1.1
"E4$3;Q119BY)65C>X8\B.(";Fornecedor 1;Produto 21;Categoria 1;Subcategoria C1.1
"L;<\]%IY(=_FYW82[HQPW*";Fornecedor 10;Produto 22;Categoria 1;Subcategoria C1.1
L7[JVE34*C8F04&C)>TND);Fornecedor 5;Produto 23;Categoria 1;Subcategoria C1.1
"E""\!""(<,96]IF9S^N`+<+#";Fornecedor 11;Produto 24;Categoria 1;Subcategoria C1.1
"E""$4:)J#,\&IFK&CB@C+:%";Fornecedor 3;Produto 25;Categoria 1;Subcategoria C1.1
L7S8>D%=7].F0F9']]+^\&;Fornecedor 5;Produto 26;Categoria 1;Subcategoria C1.1
LY/4%1MEWRU&<SSNXG_2U.;Fornecedor 5;Produto 27;Categoria 1;Subcategoria C1.1
"O""8_^5^C[KP;K]F[&83\M,";Fornecedor 10;Produto 28;Categoria 1;Subcategoria C1.1
O@K?GFZLU8-[?,F+DNPH.%;Fornecedor 10;Produto 29;Categoria 1;Subcategoria C1.1
BT3I,?U'_HE%*`H[M4ZN8*;Fornecedor 12;Produto 30;Categoria 1;Subcategoria C1.1
"ABZ9/4*;\7""9#NK0FP=I!&";Fornecedor 4;Produto 31;Categoria 1;Subcategoria C1.1
"HES`^JW*K;J3_0;""TDC'8#";Fornecedor 13;Produto 32;Categoria 1;Subcategoria C1.1
"H_5KO8""``PCS<3'D?$Z0>0";Fornecedor 13;Produto 33;Categoria 1;Subcategoria C1.1
H_]%I?(4_M3S<5`EVE5E:/;Fornecedor 13;Produto 34;Categoria 1;Subcategoria C1.1
"O<"":#OV<6*:[V:;%?`""LX'";Fornecedor 10;Produto 35;Categoria 1;Subcategoria C1.1
"L5""@WQNLI,GD9R;?B$T5:%";Fornecedor 10;Produto 36;Categoria 1;Subcategoria C1.1
ABJ&A<>FMZ[9#*%(_PNJ:&;Fornecedor 4;Produto 37;Categoria 1;Subcategoria C1.1
AF[SWY7=&[X9L)QN)\\M&(;Fornecedor 14;Produto 38;Categoria 1;Subcategoria C1.1
H9K9>P]6011%CW(,4E94@#;Fornecedor 13;Produto 39;Categoria 1;Subcategoria C1.1
"O""8N\*.JD]C;K-!>C6/7`/";Fornecedor 15;Produto 40;Categoria 1;Subcategoria C1.1
"A((<PN3Q7E""YWRD->F!$80";Fornecedor 14;Produto 41;Categoria 1;Subcategoria C1.1
"A$'""()&O-"",Y.?L`(:`\@-";Fornecedor 14;Produto 42;Categoria 1;Subcategoria C1.1
A$G*I.^+99RY.7?OZ:B_2.;Fornecedor 14;Produto 43;Categoria 1;Subcategoria C1.1
"BXT+6*[F4C""%S3A(#A[U/-";Fornecedor 13;Produto 44;Categoria 1;Subcategoria C1.1
"O7<=]5""0%6WHX,QRC<ELK,";Fornecedor 16;Produto 45;Categoria 1;Subcategoria C1.1
OY@$@4@FZ($($828(E]LG%;Fornecedor 17;Produto 46;Categoria 1;Subcategoria C1.1
"OYH6X5N=MN-($JE\[$5\_""";Fornecedor 17;Produto 47;Categoria 1;Subcategoria C1.1
"BX,""?.E,M4?%SETLV`2E>/";Fornecedor 13;Produto 48;Categoria 1;Subcategoria C1.1
"HK(7-;P];;)S%5L,!QCH&!";Fornecedor 18;Produto 49;Categoria 1;Subcategoria C1.1
B*]ZJ=0XF`[E08&L%BM32);Fornecedor 19;Produto 50;Categoria 1;Subcategoria C1.1
"B*E5DD6,E/5E0&S'2""6$Z+";Fornecedor 5;Produto 51;Categoria 1;Subcategoria C1.1
OQV&8-O'_SS(R.TW-NGT./;Fornecedor 7;Produto 52;Categoria 1;Subcategoria C1.1
O+)\5MM48/-H/EL_#/Q!@-;Fornecedor 18;Produto 53;Categoria 1;Subcategoria C1.1
"AQ,+I@S]_L\<3[]""5WUU].";Fornecedor 4;Produto 54;Categoria 1;Subcategoria C1.1
"BG5<=':GMO=PTJ;R]+7^!/";Fornecedor 4;Produto 55;Categoria 1;Subcategoria C1.1
D3QLBN/KZQ>C0T2D(K2!O.;Fornecedor 4;Produto 56;Categoria 1;Subcategoria C1.1
"D7"":Y+)B3R;CYS^*3V@$;0";Fornecedor 12;Produto 57;Categoria 1;Subcategoria C1.1
